# Лог очищен 2026-03-26 09:24:57
2026-03-26 13:19:34 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 📰 Добавить новость на сайт
2026-03-26 13:19:36 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 123
2026-03-26 13:19:38 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 123
2026-03-26 13:42:07 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 📰 Добавить новость на сайт
2026-03-26 13:42:12 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: тестттттттттттттттттттттт
2026-03-26 13:42:22 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 1234124рлдуцпоцуо йолп дйкужпл шщукп олзэщпкцу шщжрпоудкл пзукшцр пцукукцо прклурпшщцур кпш рцужкщ п
2026-03-26 13:44:51 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 👑 Админ-панель
2026-03-26 13:44:55 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 🛠 Управление кнопками
2026-03-26 13:44:58 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: toggle_button_publish_to_group | Message: 14148
2026-03-26 14:23:52 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 🛠 Управление кнопками
2026-03-26 14:23:55 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: toggle_button_publish_to_group | Message: 14152
2026-03-26 14:24:00 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: ⬅️ Главное меню
2026-03-26 14:24:01 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 📰 Добавить новость на сайт
2026-03-26 14:24:11 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: теееееееееееееееееееееееееест
2026-03-26 14:24:15 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: теееееееееееееееееееееееееееееееееееееест
2026-03-26 14:24:27 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: delete_group_message:-1001105023758:245 | Message: 14161
2026-03-26 14:45:25 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 👑 Админ-панель
2026-03-26 14:45:27 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 🛠 Управление кнопками
2026-03-26 14:45:30 - 🖱️ CALLBACK | User: 233014097 (@p_soroko) | Data: toggle_button_contract | Message: 14169
2026-03-26 14:45:31 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: ⬅️ Главное меню
2026-03-26 14:45:49 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: ❓ Консультация со специалистом
2026-03-26 14:45:51 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: ❌ Отменить вопрос
2026-03-26 14:45:53 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: ❓ Консультация со специалистом
2026-03-26 14:46:07 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 123
2026-03-26 14:46:12 - 📨 СООБЩЕНИЕ | User: 233014097 (@p_soroko) | Chat: 233014097 | Text: 🔧 Модераторское меню
